Id,CaseDate,CityName,CityId,Summary,CaseTitle,Type
152295189304578073,2025-02-22T16:00:00Z,新北市,2,"「恭喜你中獎了！」
晚上，我正悠哉地滑著 Twitter，突然收到一則 私訊，來自一個推特主，暱稱是 「(O女)」。她的貼文上寫著 抽獎活動，說只要 追蹤指定帳號，就有機會獲得大獎！
我心想：「這麼好康？！」於是我立刻照做，點擊了她提供的 另一個帳號『領獎關注本號』，並私訊她：「我中獎了嗎？」
對方很快回覆，說我真的 中了大獎，但要先 購買點數卡，才能完成「領獎驗證」。我心想：「嗯？買點數卡？」但轉念一想，可能是某種驗證機制吧，反正錢也不是很多，就照著對方的指示買了一張 點數卡，拍照給她。
沒想到，對方竟然說：「系統顯示未完成，請再購買一張點數卡，確保驗證成功。」
這時，我的警覺心終於拉起來了，心裡開始覺得怪怪的。難道這是一場 騙局？
於是我試著詢問：「那不然我先拿一半獎品？」對方卻 已讀不回，還催促我趕快買新的點數卡。這下我才意識到—— 完了！我被騙了！
趕緊衝到 派出所報案，希望能追回損失，也提醒更多人 別掉入這種陷阱！",假中獎通知詐騙,假中獎
152603636579438608,2025-02-23T16:00:00Z,臺南市,5,我於【Instagram廣告】得知抽獎活動，對方使用之帳號為【IG帳號或ID:ge897646】，告知【公益捐款500元等抽獎辦法】可參與【夾金蛋】抽獎，並提供【請輸入抽獎網站網址:https://luckyk.top】，我輸入資料抽獎後，顯示中獎【110000元】，對方提供【光速付達及LINE ID:不詳、LINE帳號連結：https://line.me/ti/p/HRv-YBfdX7】請我加入LINE領獎。惟對方以【核實資料】名義，以【LINE通話/視訊】要求我開啟網路銀行轉帳以核實資料，再要求我以line iPASS MONEY需要做【第三方認證】，要求我轉帳至金融帳戶，我依指示網路轉帳2筆、line iPASS MONEY轉帳1筆，總損失新臺幣【74045】元，事後發覺遭詐騙。,假中獎通知詐騙,假中獎
125086048400183300,2024-12-09T16:00:00Z,基隆市,15,"我在113年12月6日11時40分在IG上看到(teaxtime_fx)帳號傳訊息通知我有免費活動可以參加抽獎，後來他跟我講我抽中手機，我就問怎麼領獎，他叫我選手機型號及顏色，並給超商收貨門市、姓名及電話，我給了7-11門市收件，對方說會幫我記錄。後來他又跟我說有別的抽獎活動，叫我捐新台幣200元給華山基金會，捐完後加入它們的會員抽獎，後來我捐給華山基金會新台幣200元(此帳戶經電話聯繫為真實捐款帳號)，他給我一個網址(http://www.twlucky888.top)叫我進去參加抽獎，然後我就進去點選抽獎，抽完獎後我就截圖抽獎畫面給IG(teaxtime_fx)帳號看，他就跟我說我運氣很好，抽到新台幣99999元，抽獎頁面中跳出快捷融通網的交友連結，我加入後聯繫line客服""快捷融通網""兌獎，我就傳中獎畫面給line客服""快捷融通網""說我要兌獎，他就叫我傳銀行帳號、名字，說要確認資料，確認後幫我匯過去，後來line客服(快捷融通網)傳一張匯款失敗的照片，他就給我一個網址連接他們專員的line(陳建明)，跟他聯繫處理交易失敗的問題，line(陳建明)專員後他叫我給他名字幫我查詢，我問她說有資料嗎，他就直接打line語音給我，並跟我說我的帳戶金額不足三萬元，我再把這個對話給IG(teaxtime_fx)帳號的這個人看，IG(teaxtime_fx)帳號的人就跟我說存款財力證明沒有超過30000元，金管會防制洗錢條令有明文規定不能用空頭帳戶連結授權第三方避免洗錢的違法行為，我就跟我的姐姐借錢，請他匯新台幣三萬元至我的銀行帳戶，我就問line客服(快捷融通網)好了之後要怎麼做，他叫我配合專員處理，我就問line(陳建明)專員怎麼處理，他就叫我用line分享畫面教我麼操作銀行匯錢，他好友連結就叫我加另位line專員(陳嘉明)，我就傳匯款成功的截圖給line專員(陳嘉明)，他就叫我詢問滯留更新之後的操作，後續line專員(陳嘉明)沒回應，我就詢問line(陳建明)說line專員(陳嘉明)為什麼沒回訊息，他說會再幫我聯繫，後來陳嘉明line通話告知我，我的銀行帳戶卡片須更新，並指示我將卡片寄去，我就依照對方指示於113年12月06日20時34分用ibon操作用賣貨便從7-11寄給對方，寄出當下我就依對方指示把我的提款卡密碼給對方，後來我查詢賣貨便流程，發現於113年12月09日09時19分對方已取貨，後續因為對方一直找理由拖時間，而且後來所有的人都不讀不回，我才在113年12月10日早上打給永豐銀行客服，銀行客服才告訴我，我可能遭到詐騙，而且我的帳戶裡面有金流進出，銀行幫我把卡片停用後，並請我撥打165詐騙專線，後來我打165後就到警局報案。",假中獎通知詐騙,假中獎
150240947878236165,2025-02-15T16:00:00Z,新北市,2,我於Instagram上收到一則用戶私訊，該員向我表示可領取免費贈品，並傳送一個詐騙網站給我，我依照網站上指示操作並點選網址加入line客服，於通話內表示需驗證我帳戶是否正常，我依照指示就轉帳新台幣17998元到對方指定戶頭後，對方就不再回應，才驚覺遭到詐騙，故至所報案。,假中獎通知詐騙,假中獎
158111373203607552,2025-03-10T16:00:00Z,臺中市,4,"某天，我在Instagram廣告上看到一則抽獎活動。廣告內容寫著「限時抽獎，輕鬆贏取大獎！」我點進去看了一下，沒多久就收到中獎通知，對方聲稱我獲得了88,888元獎金，並提供一個LINE帳號讓我聯繫他們領獎。我興奮地加了對方的LINE，對方語氣專業且有條理，向我解釋領獎流程。他說，由於獎金數額較大，我的銀行帳戶需要**開通「第三方認證」**才能收到款項，還說這是「政府規定的審核流程」。聽起來很正式，我當下並未懷疑。接下來，要求我開啟網路銀行，並支付一筆審核費用來完成帳戶驗證。他強調：「這只是臨時性的費用，審核通過後，款項會一併退還。」於是，在他的指示下，我陸續轉帳了30,230元。
但當我完成付款後，對方卻開始找理由拖延，先說「審核還需額外手續費」，接著又稱「系統故障，款項無法入帳」，甚至建議我再支付更多錢來解決問題。我這才意識到事情不對勁，當我要求退款時，對方立刻失聯，這時我才驚覺自己中了詐騙。這次的經歷讓我損失30,230元，也讓我明白，所謂的「中獎通知」很可能是詐騙集團設下的陷阱！真正的抽獎活動不會要求事先支付費用，也不會以「帳戶認證」為理由騙取個資或金錢。希望大家引以為戒，不要輕信來路不明的中獎訊息，以免落入詐騙陷阱！",假中獎通知詐騙,假中獎
124387737485709312,2024-12-07T16:00:00Z,臺中市,4,"我在113年12月1日，透過Instagram看到一則由帳號“foto_fames”發佈的抽獎貼文，並留言參加抽獎。幾天後，我收到訊息說我已中獎，對方要求我註冊會員並匯款200元會費。我依照對方的指示，在12月8日15時23分，匯款至指定帳戶。
接著，我被告知又中了一個99999元的禮金，並要求我加入Line專員以追蹤後續獎金匯款。但後來，對方以匯款失敗為由，讓我加入新的Line專員帳號來解決問題。當對方要求我提供財產證明並匯款三萬元以上時，我突然覺得事情不對勁，便聯絡了165報案專線求證，才發現這是詐騙手法。
我趕緊到派出所報案，並提供了相關資料。透過這次經歷，我深刻體會到，當遇到過於誘人的獎金或要求匯款的情況時，一定要保持警惕。特別是當對方要求提供個人資料或匯款時，我們應該多加思考並查證，不輕易相信任何陌生來源的訊息。希望我的經歷能提醒大家，提高警覺，避免成為詐騙的受害者。",假中獎通知詐騙,假中獎
150483799619145728,2025-02-17T16:00:00Z,臺東縣,19,"最近，我在臉書上看到一場直播抽獎活動，主持人聲稱只要私訊登記，就能參加轉盤抽獎，還貼心地提供了一個網站連結，讓大家輸入資料參加。當時我覺得機會難得，於是就按照指示填寫了基本資訊，沒想到，螢幕上竟然跳出「恭喜中獎 774,571 元」的訊息！



興奮不已的我立刻私訊對方，對方表示需要加入一個LINE帳號來領獎。我加了之後，對方語氣專業，強調獎金已經準備匯入，但因為我帳戶沒有開通「第三方認證」，所以需要先驗證身份，否則無法領取。我當時沒有多想，直接照著指示開啟了網路銀行。



接著，對方開始解釋，說我必須先支付稅金，金額大約是 32,822 元，並且一再強調這筆費用之後會全額退還。我猶豫了一下，但對方態度誠懇，還說這是政府規定的標準流程，甚至還提供了一些「中獎者」成功領獎的截圖，讓我更相信這是真的。於是，我按照對方提供的帳戶，完成了轉帳。



結果，匯款後對方突然變得愛理不理，甚至開始要求額外的「手續費」。這時我才開始覺得不對勁，立刻上網查詢相關資訊，才驚覺這是一場騙局！我試圖要求退款，卻發現對方已讀不回，甚至直接封鎖了我。這時候，我才知道自己被騙了，趕緊去報案，但 32,822 元已經拿不回來了。



這次的經驗讓我學到，網路上的抽獎活動千萬不能輕信，尤其是要先付錢才能領獎的，一定是詐騙！希望我的遭遇能提醒大家，提高警覺，不要掉入這種騙局！",假中獎通知詐騙,假中獎
152230711812689923,2025-02-22T16:00:00Z,臺南市,5,我於【Facebook讀書會貼文】得知投資訊息，在【Facebook】以「單純交友為前提」認識對方劉玥瑤，我自行提供LINE ID:給對方【劉玥瑤(LIN ID不詳)】加好友，對方提供網址【https://www.msdjfd.com/.#/login/register?invitecode=5889】慫恿我於網址上申請帳號並至【APPStore】下載APP【STGT】投資股票，誆稱保證獲利、穩賺不賠，我遂依指示至該網址上申請帳號，並依照對方指示【臨櫃匯款】，惟因【要再提領獲利出金時卻無法出金】，驚覺受騙，計損失新臺幣【300000元】。,假交友(投資詐財)詐騙,假交友
140694261958971425,2025-01-21T16:00:00Z,臺中市,4,"我於113年12月初在網路上認識對方，並開始以LINE聯繫，後對方以家人需要補品為由要求我轉帳新台幣30,000元到指定帳戶，因為我原本的帳戶之前已遭警示無法使用，所以今天原本要以臨櫃無摺存入方式轉帳，但行員發覺我好像是遭到詐騙，所以通報警方到場了解，經警方檢視我和對方的聊天紀錄，確認這件事是詐騙。",假交友(徵婚詐財)詐騙,假交友
170083230488203273,2025-04-12T16:00:00Z,新北市,2,"有一天我在社群軟體上認識了一個看起來很有禮貌的人，加我好友後就熱情地聊了起來，還說想交朋友、互相了解。他給了我一堆通訊軟體帳號和名字，看起來像是真的要交朋友。
後來他說有個網站可以領福利，是某個基金平台，問我要不要一起試試看。我就照著他的指示，註冊帳號、填資料，還用ATM轉帳、寄送金融卡、甚至去超商寄現金。結果對方一直說要再補更多錢，我越聽越不對勁，才醒悟過來我根本是被騙了！最後不只損失了12萬多元，連金融卡都寄出去了，還傻傻用房子抵押借錢，真的太慘了。",假交友(投資詐財)詐騙,假交友
